LOCATION,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-01,13,0.07,0.0,0.0,49,34
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-02,7,0.0,0.0,0.0,39,33
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-03,10,0.0,0.0,0.0,54,38
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-04,8,0.0,0.0,0.0,50,32
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-05,10,0.57,0.0,0.0,44,38
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-06,13,0.0,0.0,0.0,43,26
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-07,9,0.0,0.0,0.0,31,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-08,2,0.13,0.0,0.0,39,30
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-09,16,0.04,0.0,0.0,41,30
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-10,22,0.0,0.0,0.0,40,32
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-11,16,0.0,0.0,0.0,35,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-12,7,0.0,0.0,0.0,38,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-13,13,0.0,0.11,0.0,38,26
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-14,10,0.0,0.0,0.0,31,18
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-15,6,0.0,0.0,0.0,41,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-16,12,0.0,0.0,0.0,44,26
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-17,8,0.0,0.0,0.0,36,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-18,7,0.02,0.28,0.0,36,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-19,6,0.39,0.0,0.0,33,24
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-20,14,0.9,0.0,0.0,34,11
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-21,24,0.0,0.0,0.0,16,4
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-22,8,0.0,0.0,0.0,30,12
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-23,7,0.0,0.0,0.0,57,31
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-24,13,0.79,0.0,0.0,48,28
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-25,17,0.0,0.0,0.0,48,32
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-26,6,0.0,0.0,0.0,31,18
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-27,9,0.0,0.0,0.0,50,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-28,9,0.0,0.0,0.0,31,18
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-29,8,0.2,0.11,0.0,44,21
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-30,17,0.2,0.39,0.0,33,5
NEWARK-NJ-LIBERTY-AIRPORT,2019-01-31,11,0.0,0.0,0.0,14,2
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-01,7,0.0,0.0,0.0,21,10
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-02,11,0.0,0.0,0.0,35,14
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-03,6,0.0,0.0,0.0,47,21
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-04,3,0.0,0.0,0.0,67,35
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-05,7,0.0,0.0,0.0,72,39
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-06,9,0.63,0.0,0.0,56,40
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-07,9,0.08,0.0,0.0,53,46
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-08,13,0.4,0.0,0.0,49,28
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-09,18,0.0,0.0,0.0,36,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-10,8,0.0,0.0,0.0,37,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-11,6,0.0,0.0,0.0,33,26
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-12,11,0.76,1.79,0.0,34,24
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-13,14,0.05,0.0,1.09,38,30
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-14,13,0.0,0.0,0.0,54,37
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-15,9,0.0,0.0,0.0,63,40
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-16,14,0.0,0.0,0.0,52,33
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-17,8,0.05,0.0,0.0,37,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-18,11,0.08,0.0,0.0,39,23
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-19,11,0.0,0.0,0.0,36,22
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-20,7,1.0,3.19,0.0,39,31
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-21,10,0.12,0.0,1.2,52,32
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-22,10,0.0,0.0,0.0,40,32
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-23,6,0.02,0.0,0.0,37,29
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-24,17,0.92,0.0,0.0,54,42
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-25,26,0.0,0.0,0.0,40,26
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-26,16,0.0,0.0,0.0,37,23
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-27,8,0.0,0.0,0.0,32,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-02-28,12,0.02,0.22,0.0,42,30
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-01,10,0.06,0.92,1.38,41,29
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-02,12,0.6,5.26,4.56,48,35
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-03,7,0.75,3.53,1.37,48,36
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-04,13,0.24,1.35,4.06,41,30
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-05,14,0.0,0.0,0.0,37,25
NEWARK-NJ-LIBERTY-AIRPORT,2019-03-06,13,0.0,0.0,0.0,25,16
